,agent_gender,agent_year_of_birth,footfall,staypoint_planningarea,datetime
109,NA,1969,59,AM,21/2/2018 22:00
151,NA,1981,59,AM,21/2/2018 22:00
2003,M,1966,58,AM,21/2/2018 22:00
4094,M,1967,58,AM,21/2/2018 22:00
66,M,1980,58,AM,21/2/2018 22:00
194,M,1979,57,AM,21/2/2018 22:00
1557,F,1976,55,AM,21/2/2018 22:00
4217,F,1981,55,AM,21/2/2018 22:00
4533,F,1982,55,AM,21/2/2018 22:00
3990,NA,1979,55,AM,21/2/2018 22:00
4086,F,1967,54,AM,21/2/2018 22:00
4142,F,1975,54,AM,21/2/2018 22:00
4309,F,1983,54,AM,21/2/2018 22:00
1492,NA,1966,54,AM,21/2/2018 22:00
1781,NA,1976,54,AM,21/2/2018 22:00
1890,F,1971,53,AM,21/2/2018 22:00
4311,F,1986,53,AM,21/2/2018 22:00
152,NA,1970,53,AM,21/2/2018 22:00
976,F,1964,51,AM,21/2/2018 22:00
1567,F,1965,51,AM,21/2/2018 22:00
1568,F,1994,51,AM,21/2/2018 22:00
1782,M,1957,51,AM,21/2/2018 22:00
1787,NA,1968,51,AM,21/2/2018 22:00
1889,NA,1977,51,AM,21/2/2018 22:00
2102,F,1977,50,AM,21/2/2018 22:00
3989,F,1984,50,AM,21/2/2018 22:00
4212,M,1954,50,AM,21/2/2018 22:00
459,M,1964,50,AM,21/2/2018 22:00
1660,F,1958,49,AM,21/2/2018 22:00
3992,F,1974,49,AM,21/2/2018 22:00
4143,M,1958,49,AM,21/2/2018 22:00
4144,M,1977,49,AM,21/2/2018 22:00
4215,M,1962,47,AM,21/2/2018 22:00
192,NA,1983,47,AM,21/2/2018 22:00
443,F,1978,45,AM,21/2/2018 22:00
1789,F,1980,45,AM,21/2/2018 22:00
1867,M,1952,45,AM,21/2/2018 22:00
3920,F,1995,43,AM,21/2/2018 22:00
3924,NA,1965,43,AM,21/2/2018 22:00
3988,NA,1967,43,AM,21/2/2018 22:00
4319,NA,1971,42,AM,21/2/2018 22:00
1494,F,1963,41,AM,21/2/2018 22:00
1559,F,1935,40,AM,21/2/2018 22:00
2882,F,1936,40,AM,21/2/2018 22:00
4224,F,1938,40,AM,21/2/2018 22:00
1644,F,1939,40,AM,21/2/2018 22:00
1659,F,1942,40,AM,21/2/2018 22:00
4089,F,1943,40,AM,21/2/2018 22:00
4308,F,1944,40,AM,21/2/2018 22:00
4531,F,1945,40,AM,21/2/2018 22:00
4752,F,1946,40,AM,21/2/2018 22:00
1641,F,1947,40,AM,21/2/2018 22:00
1658,F,1948,40,AM,21/2/2018 22:00
1878,F,1949,40,AM,21/2/2018 22:00
2002,F,1950,40,AM,21/2/2018 22:00
2006,F,1951,40,AM,21/2/2018 22:00
2098,F,1952,40,AM,21/2/2018 22:00
2099,F,1953,40,AM,21/2/2018 22:00
2658,F,1954,40,AM,21/2/2018 22:00
3922,F,1955,40,AM,21/2/2018 22:00
4091,F,1956,40,AM,21/2/2018 22:00
4320,F,1957,40,AM,21/2/2018 22:00
4538,F,1959,40,AM,21/2/2018 22:00
453,F,1960,40,AM,21/2/2018 22:00
454,F,1962,40,AM,21/2/2018 22:00
455,F,1966,40,AM,21/2/2018 22:00
1655,F,1996,40,AM,21/2/2018 22:00
4088,F,1997,40,AM,21/2/2018 22:00
4090,F,1998,40,AM,21/2/2018 22:00
191,F,1999,40,AM,21/2/2018 22:00
1780,F,2000,40,AM,21/2/2018 22:00
1874,F,2001,40,AM,21/2/2018 22:00
2538,F,2002,40,AM,21/2/2018 22:00
3770,F,2003,40,AM,21/2/2018 22:00
3921,F,2005,40,AM,21/2/2018 22:00
4077,M,1930,40,AM,21/2/2018 22:00
4219,M,1936,40,AM,21/2/2018 22:00
4436,M,1938,40,AM,21/2/2018 22:00
1657,M,1939,40,AM,21/2/2018 22:00
1783,M,1940,40,AM,21/2/2018 22:00
3923,M,1941,40,AM,21/2/2018 22:00
4087,M,1942,40,AM,21/2/2018 22:00
4230,M,1943,40,AM,21/2/2018 22:00
4310,M,1944,40,AM,21/2/2018 22:00
1717,M,1945,40,AM,21/2/2018 22:00
1869,M,1946,40,AM,21/2/2018 22:00
1881,M,1947,40,AM,21/2/2018 22:00
3760,M,1948,40,AM,21/2/2018 22:00
4000,M,1949,40,AM,21/2/2018 22:00
4207,M,1950,40,AM,21/2/2018 22:00
1643,M,1951,40,AM,21/2/2018 22:00
1664,M,1953,40,AM,21/2/2018 22:00
1714,M,1955,40,AM,21/2/2018 22:00
1774,M,1993,40,AM,21/2/2018 22:00
1875,M,1994,40,AM,21/2/2018 22:00
2105,M,1995,40,AM,21/2/2018 22:00
4006,M,1996,40,AM,21/2/2018 22:00
4225,M,1997,40,AM,21/2/2018 22:00
4751,M,1998,40,AM,21/2/2018 22:00
26,M,1999,40,AM,21/2/2018 22:00
463,M,2000,40,AM,21/2/2018 22:00
605,M,2001,40,AM,21/2/2018 22:00
1497,M,2002,40,AM,21/2/2018 22:00
1715,M,2003,40,AM,21/2/2018 22:00
1776,M,2004,40,AM,21/2/2018 22:00
4234,M,2005,40,AM,21/2/2018 22:00
4537,M,2006,40,AM,21/2/2018 22:00
1777,NA,1925,40,AM,21/2/2018 22:00
1792,NA,1931,40,AM,21/2/2018 22:00
2097,NA,1935,40,AM,21/2/2018 22:00
3549,NA,1936,40,AM,21/2/2018 22:00
448,NA,1937,40,AM,21/2/2018 22:00
460,NA,1938,40,AM,21/2/2018 22:00
1556,NA,1940,40,AM,21/2/2018 22:00
1791,NA,1941,40,AM,21/2/2018 22:00
1794,NA,1942,40,AM,21/2/2018 22:00
1876,NA,1943,40,AM,21/2/2018 22:00
2103,NA,1944,40,AM,21/2/2018 22:00
2659,NA,1945,40,AM,21/2/2018 22:00
3103,NA,1946,40,AM,21/2/2018 22:00
3999,NA,1947,40,AM,21/2/2018 22:00
4003,NA,1948,40,AM,21/2/2018 22:00
1645,NA,1949,40,AM,21/2/2018 22:00
2001,NA,1950,40,AM,21/2/2018 22:00
2005,NA,1951,40,AM,21/2/2018 22:00
3553,NA,1952,40,AM,21/2/2018 22:00
3925,NA,1953,40,AM,21/2/2018 22:00
3930,NA,1954,40,AM,21/2/2018 22:00
3985,NA,1955,40,AM,21/2/2018 22:00
4076,NA,1956,40,AM,21/2/2018 22:00
4228,NA,1957,40,AM,21/2/2018 22:00
4962,NA,1958,40,AM,21/2/2018 22:00
456,NA,1959,40,AM,21/2/2018 22:00
1775,NA,1960,40,AM,21/2/2018 22:00
2883,NA,1961,40,AM,21/2/2018 22:00
3329,NA,1962,40,AM,21/2/2018 22:00
4140,NA,1963,40,AM,21/2/2018 22:00
4208,NA,1964,40,AM,21/2/2018 22:00
4434,NA,1974,40,AM,21/2/2018 22:00
447,NA,1999,40,AM,21/2/2018 22:00
1654,NA,2000,40,AM,21/2/2018 22:00
1934,NA,2001,40,AM,21/2/2018 22:00
2887,NA,2002,40,AM,21/2/2018 22:00
3101,NA,2013,40,AM,21/2/2018 22:00
3767,NA,NA,5330,AM,21/2/2018 21:00
4139,M,NA,517,AM,21/2/2018 21:00
4226,F,NA,355,AM,21/2/2018 21:00
108,NA,1989,171,AM,21/2/2018 21:00
461,NA,1992,151,AM,21/2/2018 21:00
1553,NA,1991,143,AM,21/2/2018 21:00
1642,NA,1990,132,AM,21/2/2018 21:00
1648,M,1969,127,AM,21/2/2018 21:00
2100,M,1970,119,AM,21/2/2018 21:00
3102,NA,1987,116,AM,21/2/2018 21:00
4097,NA,1980,115,AM,21/2/2018 21:00
4306,NA,1986,115,AM,21/2/2018 21:00
4750,NA,1988,115,AM,21/2/2018 21:00
24,NA,1984,112,AM,21/2/2018 21:00
452,F,1971,109,AM,21/2/2018 21:00
1798,NA,1985,109,AM,21/2/2018 21:00
1891,NA,1994,109,AM,21/2/2018 21:00
3987,F,1972,105,AM,21/2/2018 21:00
4437,F,1973,105,AM,21/2/2018 21:00
242,NA,1993,105,AM,21/2/2018 21:00
1554,NA,1995,105,AM,21/2/2018 21:00
1712,M,1988,103,AM,21/2/2018 21:00
1718,F,1970,95,AM,21/2/2018 21:00
2004,M,1971,95,AM,21/2/2018 21:00
3105,M,1968,93,AM,21/2/2018 21:00
3928,M,1989,93,AM,21/2/2018 21:00
4004,NA,1981,92,AM,21/2/2018 21:00
4008,M,1963,90,AM,21/2/2018 21:00
4206,M,1965,90,AM,21/2/2018 21:00
4211,M,1978,90,AM,21/2/2018 21:00
446,M,1990,90,AM,21/2/2018 21:00
1665,NA,1983,90,AM,21/2/2018 21:00
1790,M,1959,89,AM,21/2/2018 21:00
1795,M,1962,89,AM,21/2/2018 21:00
1871,M,1972,89,AM,21/2/2018 21:00
2318,M,1983,89,AM,21/2/2018 21:00
2319,NA,1982,89,AM,21/2/2018 21:00
3871,F,1981,88,AM,21/2/2018 21:00
3933,M,1984,88,AM,21/2/2018 21:00
4084,NA,1976,88,AM,21/2/2018 21:00
4210,F,1993,86,AM,21/2/2018 21:00
4303,M,1977,86,AM,21/2/2018 21:00
4435,NA,1973,86,AM,21/2/2018 21:00
67,F,1969,85,AM,21/2/2018 21:00
